historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:55:00;PT-WGS - PÉGASUS 19;0010-2021;DTA;2021-01-11;BELO HORIZONTE;VARGINHA;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:45:00;PT-WGS - PÉGASUS 19;0011-2021;DTA;2021-01-11;VARGINHA;BRAGANCA PAULISTA;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:55:00;PT-WGS - PÉGASUS 19;0010-2021;DTA;2021-01-11;BELO HORIZONTE;VARGINHA;Diego Leonardo Andrade;Deputado Federal;Camara dos Deputados
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:45:00;PT-WGS - PÉGASUS 19;0011-2021;DTA;2021-01-11;VARGINHA;BRAGANCA PAULISTA;Douglas Augusto Oliveira Cabido;Subsecretário de Estado;Secretaria de Estado de Desenvolvimento Econômico
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:55:00;PT-WGS - PÉGASUS 19;0010-2021;DTA;2021-01-11;BELO HORIZONTE;VARGINHA;Fernando Passalio de Avelar;Secretário Adjunto;Secretaria de Estado de Desenvolvimento Econômico
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:45:00;PT-WGS - PÉGASUS 19;0011-2021;DTA;2021-01-11;VARGINHA;BRAGANCA PAULISTA;Fernando Passalio de Avelar;Secretário Adjunto;Secretaria de Estado de Desenvolvimento Econômico
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:55:00;PT-WGS - PÉGASUS 19;0010-2021;DTA;2021-01-11;BELO HORIZONTE;VARGINHA;Fernando Scharlack Marcato;Secretário de Estado;Secretaria de Estado de Infraestrutura e Mobilidade de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:55:00;PT-WGS - PÉGASUS 19;0010-2021;DTA;2021-01-11;BELO HORIZONTE;VARGINHA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:45:00;PT-WGS - PÉGASUS 19;0011-2021;DTA;2021-01-11;VARGINHA;BRAGANCA PAULISTA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:55:00;PT-WGS - PÉGASUS 19;0010-2021;DTA;2021-01-11;BELO HORIZONTE;VARGINHA;Luiz Marcelo Cabral Tavares;Secretário Adjunto;Secretaria de Estado de Saúde
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:45:00;PT-WGS - PÉGASUS 19;0011-2021;DTA;2021-01-11;VARGINHA;BRAGANCA PAULISTA;Marcelo Barbosa;Analista de Mídias Sociais;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:45:00;PT-WGS - PÉGASUS 19;0011-2021;DTA;2021-01-11;VARGINHA;BRAGANCA PAULISTA;Rodrigo Freitas Gomes;Assessor Especial;Secretaria de Estado de Governo de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:55:00;PT-WGS - PÉGASUS 19;0010-2021;DTA;2021-01-11;BELO HORIZONTE;VARGINHA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";00:45:00;PT-WGS - PÉGASUS 19;0011-2021;DTA;2021-01-11;VARGINHA;BRAGANCA PAULISTA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";01:00:00;PT-WGS - PÉGASUS 19;0013-2021;DTA;2021-01-12;POUSO ALEGRE;BELO HORIZONTE;Aline Brandão Silva;Assessora Cerimonial;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";01:00:00;PT-WGS - PÉGASUS 19;0013-2021;DTA;2021-01-12;POUSO ALEGRE;BELO HORIZONTE;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";01:00:00;PT-WGS - PÉGASUS 19;0013-2021;DTA;2021-01-12;POUSO ALEGRE;BELO HORIZONTE;Fernando Junqueira Ferraz;Superintendente;Secretaria de Estado de Governo de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";01:00:00;PT-WGS - PÉGASUS 19;0013-2021;DTA;2021-01-12;POUSO ALEGRE;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";01:00:00;PT-WGS - PÉGASUS 19;0013-2021;DTA;2021-01-12;POUSO ALEGRE;BELO HORIZONTE;Marcelo Barbosa;Analista de Mídias Sociais;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";01:00:00;PT-WGS - PÉGASUS 19;0013-2021;DTA;2021-01-12;POUSO ALEGRE;BELO HORIZONTE;Rodrigo Freitas Gomes;Assessor Especial;Secretaria de Estado de Governo de Minas Gerais
"Traslado do Exmo Governador e comitiva para anúncio de obra na MG-167 em Três Pontas/MG; entrega de seringas e Decreto da Liberdade Econômica em Varginha; visitas a empresas em Extrema; solenidade de entrega de certificado em Santa Rita do Sapucaí e outras agendas na Região.";01:00:00;PT-WGS - PÉGASUS 19;0013-2021;DTA;2021-01-12;POUSO ALEGRE;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
O Governador de Minas Gerais e comitiva participarão de agenda oficial nas cidades de Barbacena e Juiz de Fora, Minas Gerais. atendimento à imprensa e reunião com prefeitos da região em Barbacena/MG. Evento de entrega insumos da vacina e encontro com filiados em Barbacena/MG. Almoço com prefeitos da região de Juiz de Fora, evento de entrega insumos da vacina e atendimento à imprensa.;01:05:00;PT-WGS - PÉGASUS 19;0018-2021;DTA;2021-01-15;JUIZ DE FORA;BELO HORIZONTE;Aline Brandão Silva;Assessora Cerimonial;Secretaria Geral do Estado de Minas Gerais
