historico;horas_voadas;aernova;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:30:00;PP-LCE - PÉGASUS 24;0117-2025;DTA;2025-09-05;GOIANIA;ARACUAI;Andre Valadares da Cruz;Videomaker;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:30:00;PP-LCE - PÉGASUS 24;0117-2025;DTA;2025-09-05;GOIANIA;ARACUAI;Andreza Gischewski Costa;Assessor Especial;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:30:00;PP-LCE - PÉGASUS 24;0117-2025;DTA;2025-09-05;GOIANIA;ARACUAI;Igor Augusto Tinoco da Silva;Imprensa;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:30:00;PP-LCE - PÉGASUS 24;0117-2025;DTA;2025-09-05;GOIANIA;ARACUAI;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:30:00;PP-LCE - PÉGASUS 24;0117-2025;DTA;2025-09-05;GOIANIA;ARACUAI;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:30:00;PP-LCE - PÉGASUS 24;0117-2025;DTA;2025-09-05;GOIANIA;ARACUAI;Thales Almeida Pereira Fernandes;Secretário de Estado;Secretaria de Estado de Pecuária e Abastecimento
Traslado do Exmo. Governador de Minas e Comitiva para Araxá/MG.;00:54:00;PP-LCE - PÉGASUS 24;0139-2025;DTA;2025-09-26;BELO HORIZONTE;ARAXA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva para Araxá/MG.;00:54:00;PP-LCE - PÉGASUS 24;0139-2025;DTA;2025-09-26;BELO HORIZONTE;ARAXA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para as cidade de Araxá e Uberlândia/MG.;00:54:00;PP-LCE - PÉGASUS 24;0187-2025;DTA;2025-12-01;BELO HORIZONTE;ARAXA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para as cidade de Araxá e Uberlândia/MG.;00:54:00;PP-LCE - PÉGASUS 24;0187-2025;DTA;2025-12-01;BELO HORIZONTE;ARAXA;Andre Valadares da Cruz;Videomaker;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para as cidade de Araxá e Uberlândia/MG.;00:54:00;PP-LCE - PÉGASUS 24;0187-2025;DTA;2025-12-01;BELO HORIZONTE;ARAXA;Andreza Gischewski Costa;Assessor Especial;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para as cidade de Araxá e Uberlândia/MG.;00:54:00;PP-LCE - PÉGASUS 24;0187-2025;DTA;2025-12-01;BELO HORIZONTE;ARAXA;Dirceu Aurélio Pereira;Fotógrafo;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para as cidade de Araxá e Uberlândia/MG.;00:54:00;PP-LCE - PÉGASUS 24;0187-2025;DTA;2025-12-01;BELO HORIZONTE;ARAXA;Marcela Calixto da Silva;Imprensa;Secretaria de Estado de Comunicação Social
